mu,alpha,sigma_inicial,replica,aptitud
30,1.2,3.0,7,1.7296371023919692
30,1.2,3.0,8,1.9701387026714832
30,1.2,3.0,9,1.761816886782086
50,1.05,0.05,0,1.817846650859583
50,1.05,0.05,1,1.9096932023995439
50,1.05,0.05,2,1.8936148692309724
50,1.05,0.05,3,1.865252894907865
50,1.05,0.05,4,1.8401689309222178
50,1.05,0.05,5,1.736017299443462
50,1.05,0.05,6,1.732573825357333
50,1.05,0.05,7,1.916198218111693
50,1.05,0.05,8,1.7331706930242792
50,1.05,0.05,9,1.895465945842493
50,1.05,0.5,0,1.7309775499817506
50,1.05,0.5,1,1.7303198272490063
50,1.05,0.5,2,1.8363222344442833
50,1.05,0.5,3,1.736236430395101
50,1.05,0.5,4,1.7367428897800798
50,1.05,0.5,5,1.7319800437426567
50,1.05,0.5,6,1.7460453656974138
50,1.05,0.5,7,1.7318713112591149
50,1.05,0.5,8,1.7400955463606527
50,1.05,0.5,9,1.7360939969604248
50,1.05,1.5,0,1.7403238611672625
50,1.05,1.5,1,1.734515864366965
50,1.05,1.5,2,1.7339795135996503
50,1.05,1.5,3,1.7370936770673577
50,1.05,1.5,4,1.7389438027252586
50,1.05,1.5,5,1.7360437862523634
50,1.05,1.5,6,1.7351396799584267
50,1.05,1.5,7,1.736127737372419
50,1.05,1.5,8,1.736372056986542
50,1.05,1.5,9,1.7338765482321115
50,1.05,3.0,0,1.7388859174407583
50,1.05,3.0,1,1.7371784344350525
50,1.05,3.0,2,1.7341384890391776
50,1.05,3.0,3,1.7348639316923011
50,1.05,3.0,4,1.7350604653767814
50,1.05,3.0,5,1.7393665775104248
50,1.05,3.0,6,1.7366119285148343
50,1.05,3.0,7,1.7309981788337527
50,1.05,3.0,8,1.7358034572169332
50,1.05,3.0,9,1.7347613418549739
50,1.1,0.05,0,1.7331067027597786
50,1.1,0.05,1,1.8513992357911533
50,1.1,0.05,2,1.8078782913801397
50,1.1,0.05,3,1.8234622943977832
50,1.1,0.05,4,1.9167150133271147
50,1.1,0.05,5,1.7352516823395443
50,1.1,0.05,6,1.7316980491132963
50,1.1,0.05,7,1.8992966386135335
50,1.1,0.05,8,1.7657333368290205
50,1.1,0.05,9,1.843614155543859
50,1.1,0.5,0,1.7497443009341545
50,1.1,0.5,1,1.7334085424334797
50,1.1,0.5,2,1.735617392570546
50,1.1,0.5,3,1.8375038865386109
50,1.1,0.5,4,1.746345827482725
50,1.1,0.5,5,1.7344252250592185
50,1.1,0.5,6,1.7765558160660415
50,1.1,0.5,7,1.7987880705480945
50,1.1,0.5,8,1.875779144246472
50,1.1,0.5,9,1.8155255046280225
50,1.1,1.5,0,1.7626099183689203
50,1.1,1.5,1,1.7316203542214366
50,1.1,1.5,2,1.7735739751055755
50,1.1,1.5,3,1.7323674301722094
50,1.1,1.5,4,1.733410681097394
50,1.1,1.5,5,1.7321746838393923
50,1.1,1.5,6,1.7332167364234798
50,1.1,1.5,7,1.8353665472092144
50,1.1,1.5,8,1.7335927497984187
50,1.1,1.5,9,1.735681706341182
50,1.1,3.0,0,1.801695252813552
50,1.1,3.0,1,1.8735919978003475
50,1.1,3.0,2,1.7340286038221704
50,1.1,3.0,3,1.7358305779470404
50,1.1,3.0,4,1.7427568204470252
50,1.1,3.0,5,1.7360841619319836
50,1.1,3.0,6,1.7326373929983616
50,1.1,3.0,7,1.7318477902721128
50,1.1,3.0,8,1.7349079825774187
50,1.1,3.0,9,1.7367284812868853
50,1.15,0.05,0,1.758003561243068
50,1.15,0.05,1,1.8519858692209445
50,1.15,0.05,2,1.8989035826273941
50,1.15,0.05,3,2.3250369648462206
50,1.15,0.05,4,1.7490472173962657
50,1.15,0.05,5,1.7341167470153191
50,1.15,0.05,6,1.7353798552797697
50,1.15,0.05,7,1.96597785393055
50,1.15,0.05,8,1.7783801466712754
50,1.15,0.05,9,1.8967949382738498
50,1.15,0.5,0,1.9878240843640511
50,1.15,0.5,1,1.7348388665787113
50,1.15,0.5,2,1.7325252253935912
50,1.15,0.5,3,1.8162818485566816
